data,intrari,iesiri
2020-03-24,18800,13000
2020-03-25,18300,12500
2020-03-26,17600,11600
2020-03-27,16800,11300
2020-03-28,17000,8600
2020-03-29,17600,8500
2020-03-30,14500,7700
2020-03-31,14700,9600
2020-04-01,13800,9700
2020-04-02,14400,9200
2020-04-03,16200,10200
2020-04-04,15400,9600
2020-04-05,14300,8400
2020-04-06,12300,6300
2020-04-07,9200,9100
2020-04-08,10100,9400
2020-04-09,10700,9200
2020-04-10,11900,11300
2020-04-11,11400,9000
2020-04-12,9300,8500
2020-04-13,7300,6600